ID,Component
4-AMINO-BUTYRALDEHYDE[c],0
CPD-12136[c],0
RXN-22604,0
18-HYDROXYOLEATE[c],0
CADAVERINE[e],0
URATE-OXIDASE-RXN,0
2-METHYLACYL-COA-DEHYDROGENASE-RXN,0
MNtpp,0
S-LACTOYL-GLUTATHIONE[c],0
BIOTIN[c],0
RXN-17339,0
CPD-12125[c],0
RXN-11351,0
PRIBFAICARPISOM-RXN,0
CPD-25382[c],0
Vernolates[c],0
RXN-8850,0
CPD-12012[c],0
CPD-13534[c],0
RXN-19799,0
CPD-13680[c],0
2.3.1.180-RXN,0
ADP[c],0
PYRIDOXINE-5P[c],0
RXN-19256,0
RXN-10814,0
CPD-20845[c],0
CPD-12173[c],0
RXN-12900,0
BENZENE[c],0
BENZOIN-ALDOLASE-RXN,0
OHBUTYRYL-COA-EPIM-RXN-POLYMER-INST-D-3-HYDROXYACYL-COA-C16-H32//POLYMER-INST-L-3-HYDROXYACYL-COA-C16-H32.83.,0
RXN-8631,0
NADPH-DEHYDROGENASE-FLAVIN-RXN,0
CPD-10663[c],0
CPD-10418[c],0
QUINOLINATE[c],0
CPD-20828[c],0
RXN0-5391,0
POLYMER-INST-CPD66-39-C10-H20[c],0
CIT[e],0
4.1.1.81-RXN,0
RXN-14249,0
GLYCEROPHOSPHOGLYCEROL[c],0
ETOH[c],0
CPD-11524[c],0
RXN-20785,0
EX_pyr,0
SAMDECARB-RXN,0
CPD-782[c],0
CPD-15566[c],0
EX_k,0
CPD-15653[c],0
THREONINE-ALDOLASE-RXN,0
TRIOSEPISOMERIZATION-RXN,0
RXN-10915,0
RXN-11209,0
CPD0-2040[c],0
RXN3O-1803,0
DEOXYCYTIDINE-KINASE-RXN-DEOXYCYTIDINE/DUTP//DCMP/DUDP/PROTON.37.,0
CPD-12692[c],0
CPD-13694[c],0
OROTATE[c],0
CPD-302[c],0
CPD-24926[c],0
L-CYSTEATE[p],0
THIAMIN-PYROPHOSPHOKINASE-RXN,0
KYNURENINASE-RXN,0
AMINO-RIBOSYLAMINO-1H-3H-PYR-DIONE[c],0
POLYMER-INST-CIS-DELTA3-ENOYL-COA-C14-H28[c],0
CPDMETA-13650[c],0
CPD-12297[c],0
GLTtex,0
4-hydroxybenzoate[c],0
SEROTONIN[c],0
P3I[p],0
Reduced-ferredoxins[c],0
CPD-17047[c],0
Holo-EntB[c],0
PUTRESCINEtex,0
RXN-22315,0
ATP[c],0
RXN-17955,0
SUCCCOASYN-RXN,0
Holo-EntF[c],0
3-oxo-decanoyl-ACPs[c],0
CPD-18279[c],0
R125-RXN,0
RXN-7744,0
AKBLIG-RXN,0
3-Ketopimeloyl-ACP-methyl-esters[c],0
CPD0-1905[c],0
CPD-9247[p],0
2-C-METHYL-D-ERYTHRITOL-4-PHOSPHATE[c],0
RXN-22736,0
SULFATE-ADENYLYLTRANS-RXN,0
RXN-22643,0
CPD-12502[c],0
ASN[p],0
CPD-1070[c],0
RXN-13697,0
ISOPROPYLAMINE[c],0
UBIQUINONE-8[c],0
CPD1G-332[c],0
RXN-14273,0
RXN-10642,0
RXN-16129,0
CPD-24553[c],0
RXN-11178,0
RXN-9615,0
CPD-13578[c],0
LIPIDADISACCHARIDESYNTH-RXN,0
PMPOXI-RXN,0
RXN-11481,0
MYO-INOSITOL[c],0
CPD-16020[c],0
RXN-16401,0
Rpom_hwa_biomass,0
RXN0-747,0
